1	8
1	9
2	68
2	8
2	9
3	5
3	74
3	66
4	28
5	66
6	68
6	8
6	64
7	68
7	8
7	70
7	9
7	57
8	68
8	9
8	6
8	11
8	38
8	52
8	64
9	25
10	9
10	47
10	82
10	15
11	6
12	68
12	8
12	9
13	68
13	8
13	9
13	25
15	53
15	8
15	9
15	71
15	47
15	10
15	22
15	82
15	37
15	25
15	52
16	68
16	9
16	6
16	11
16	64
17	68
19	83
20	9
20	28
22	53
22	8
22	71
22	47
22	15
22	64
23	68
23	9
23	25
23	28
26	68
26	8
26	70
26	9
26	57
26	25
27	68
27	19
27	70
27	9
27	57
27	83
27	25
28	68
28	8
28	9
28	4
28	25
29	68
29	55
29	8
29	9
29	59
29	25
29	64
29	78
30	68
30	8
30	9
31	68
31	8
31	70
31	9
31	34
31	57
31	74
31	63
31	17
31	76
32	8
32	9
32	11
32	15
32	16
33	68
33	8
33	70
33	9
33	57
33	25
34	68
35	68
35	8
35	70
35	9
35	57
35	74
35	25
36	68
36	9
36	6
36	11
36	25
36	64
37	22
37	15
40	68
40	8
40	9
41	68
41	8
41	9
42	68
42	55
42	8
42	9
42	64
43	57
45	68
45	8
45	9
45	25
45	15
46	68
46	8
46	9
46	74
46	28
47	15
48	68
48	45
48	8
48	9
48	11
48	15
48	16
49	68
49	8
49	70
49	9
49	57
49	25
50	8
50	66
51	68
51	8
51	9
51	28
52	68
52	9
53	68
53	8
53	9
53	47
53	10
53	82
53	25
53	15
53	64
54	68
54	8
54	9
54	82
54	83
54	25
55	68
55	8
55	9
55	25
56	33
56	68
56	8
56	9
57	43
57	68
57	8
57	70
58	68
58	9
59	14
59	18
60	66
61	66
62	44
62	59
63	9
63	17
64	68
64	8
64	9
64	25
65	68
65	8
65	9
66	68
66	8
66	9
66	3
66	50
66	60
66	5
66	74
66	61
66	28
67	69
67	43
67	68
67	57
67	31
68	8
68	9
68	25
68	64
69	68
69	8
69	9
71	53
71	8
71	47
71	15
71	64
72	68
73	68
73	8
73	70
73	9
73	57
73	59
73	62
73	25
74	38
75	68
75	8
75	70
75	9
75	57
76	31
77	68
77	8
77	9
78	44
78	59
79	68
79	8
79	9
79	25
80	68
80	9
82	1
82	8
82	9
82	81
82	83
83	9
84	68
84	8
84	9
85	68
85	8
85	70
85	9
85	57
85	24
